Timestep,Traffic_Light_ID,State,Phase_Duration
17,cluster_10279701148_11630151856_663826006,GG,0.001
17,cluster_11502623497_1177160337,rrGGg,42.0
17,cluster_664446535_8507351666,rrGGG,42.0
18,cluster_10279701148_11630151856_663826006,GG,0.001
18,cluster_11502623497_1177160337,rrGGg,42.0
18,cluster_664446535_8507351666,rrGGG,42.0
19,cluster_10279701148_11630151856_663826006,GG,0.001
19,cluster_11502623497_1177160337,rrGGg,42.0
19,cluster_664446535_8507351666,rrGGG,42.0
20,cluster_10279701148_11630151856_663826006,GG,0.001
20,cluster_11502623497_1177160337,rrGGg,42.0
20,cluster_664446535_8507351666,rrGGG,42.0
21,cluster_10279701148_11630151856_663826006,GG,0.001
21,cluster_11502623497_1177160337,rryyy,3.0
21,cluster_664446535_8507351666,rryyy,3.0
22,cluster_10279701148_11630151856_663826006,GG,0.001
22,cluster_11502623497_1177160337,rryyy,3.0
22,cluster_664446535_8507351666,rryyy,3.0
23,cluster_10279701148_11630151856_663826006,GG,0.001
23,cluster_11502623497_1177160337,rryyy,3.0
23,cluster_664446535_8507351666,rryyy,3.0
24,cluster_10279701148_11630151856_663826006,GG,0.001
24,cluster_11502623497_1177160337,GGrrr,42.0
24,cluster_664446535_8507351666,GGrrr,42.0
25,cluster_10279701148_11630151856_663826006,GG,0.001
25,cluster_11502623497_1177160337,GGrrr,42.0
25,cluster_664446535_8507351666,GGrrr,42.0
26,cluster_10279701148_11630151856_663826006,GG,0.001
26,cluster_11502623497_1177160337,GGrrr,42.0
26,cluster_664446535_8507351666,GGrrr,42.0
27,cluster_10279701148_11630151856_663826006,GG,0.001
27,cluster_11502623497_1177160337,GGrrr,42.0
27,cluster_664446535_8507351666,GGrrr,42.0
28,cluster_10279701148_11630151856_663826006,GG,0.001
28,cluster_11502623497_1177160337,GGrrr,42.0
28,cluster_664446535_8507351666,GGrrr,42.0
29,cluster_10279701148_11630151856_663826006,GG,0.001
29,cluster_11502623497_1177160337,yyrrr,3.0
29,cluster_664446535_8507351666,yyrrr,3.0
30,cluster_10279701148_11630151856_663826006,GG,0.001
30,cluster_11502623497_1177160337,yyrrr,3.0
30,cluster_664446535_8507351666,yyrrr,3.0
31,cluster_10279701148_11630151856_663826006,GG,0.001
31,cluster_11502623497_1177160337,yyrrr,3.0
31,cluster_664446535_8507351666,yyrrr,3.0
32,cluster_10279701148_11630151856_663826006,GG,0.001
32,cluster_11502623497_1177160337,rrGGg,42.0
32,cluster_664446535_8507351666,rrGGG,42.0
33,cluster_10279701148_11630151856_663826006,GG,0.001
33,cluster_11502623497_1177160337,rrGGg,42.0
33,cluster_664446535_8507351666,rrGGG,42.0
34,cluster_10279701148_11630151856_663826006,GG,0.001
34,cluster_11502623497_1177160337,rrGGg,42.0
34,cluster_664446535_8507351666,rrGGG,42.0
35,cluster_10279701148_11630151856_663826006,GG,0.001
35,cluster_11502623497_1177160337,rrGGg,42.0
35,cluster_664446535_8507351666,rrGGG,42.0
36,cluster_10279701148_11630151856_663826006,GG,0.001
36,cluster_11502623497_1177160337,rrGGg,42.0
36,cluster_664446535_8507351666,rrGGG,42.0
37,cluster_10279701148_11630151856_663826006,GG,0.001
37,cluster_11502623497_1177160337,rryyy,3.0
37,cluster_664446535_8507351666,rryyy,3.0
38,cluster_10279701148_11630151856_663826006,GG,0.001
38,cluster_11502623497_1177160337,rryyy,3.0
38,cluster_664446535_8507351666,rryyy,3.0
39,cluster_10279701148_11630151856_663826006,GG,0.001
39,cluster_11502623497_1177160337,rryyy,3.0
39,cluster_664446535_8507351666,rryyy,3.0
40,cluster_10279701148_11630151856_663826006,GG,0.001
40,cluster_11502623497_1177160337,GGrrr,42.0
40,cluster_664446535_8507351666,GGrrr,42.0
41,cluster_10279701148_11630151856_663826006,GG,0.001
41,cluster_11502623497_1177160337,GGrrr,42.0
41,cluster_664446535_8507351666,GGrrr,42.0
42,cluster_10279701148_11630151856_663826006,GG,0.001
42,cluster_11502623497_1177160337,GGrrr,42.0
42,cluster_664446535_8507351666,GGrrr,42.0
43,cluster_10279701148_11630151856_663826006,GG,0.001
43,cluster_11502623497_1177160337,GGrrr,42.0
43,cluster_664446535_8507351666,GGrrr,42.0
44,cluster_10279701148_11630151856_663826006,GG,0.001
44,cluster_11502623497_1177160337,GGrrr,42.0
44,cluster_664446535_8507351666,GGrrr,42.0
45,cluster_10279701148_11630151856_663826006,GG,0.001
45,cluster_11502623497_1177160337,yyrrr,3.0
45,cluster_664446535_8507351666,yyrrr,3.0
46,cluster_10279701148_11630151856_663826006,GG,0.001
46,cluster_11502623497_1177160337,yyrrr,3.0
46,cluster_664446535_8507351666,yyrrr,3.0
47,cluster_10279701148_11630151856_663826006,GG,0.001
47,cluster_11502623497_1177160337,yyrrr,3.0
47,cluster_664446535_8507351666,yyrrr,3.0
48,cluster_10279701148_11630151856_663826006,GG,0.001
48,cluster_11502623497_1177160337,rrGGg,42.0
48,cluster_664446535_8507351666,rrGGG,42.0
49,cluster_10279701148_11630151856_663826006,GG,0.001
49,cluster_11502623497_1177160337,rrGGg,42.0
49,cluster_664446535_8507351666,rrGGG,42.0
50,cluster_10279701148_11630151856_663826006,GG,0.001
50,cluster_11502623497_1177160337,rrGGg,42.0
50,cluster_664446535_8507351666,rrGGG,42.0
51,cluster_10279701148_11630151856_663826006,GG,0.001
51,cluster_11502623497_1177160337,rrGGg,42.0
51,cluster_664446535_8507351666,rrGGG,42.0
52,cluster_10279701148_11630151856_663826006,GG,0.001
52,cluster_11502623497_1177160337,rrGGg,42.0
52,cluster_664446535_8507351666,rrGGG,42.0
53,cluster_10279701148_11630151856_663826006,GG,0.001
53,cluster_11502623497_1177160337,rryyy,3.0
53,cluster_664446535_8507351666,rryyy,3.0
54,cluster_10279701148_11630151856_663826006,GG,0.001
54,cluster_11502623497_1177160337,rryyy,3.0
54,cluster_664446535_8507351666,rryyy,3.0
55,cluster_10279701148_11630151856_663826006,GG,0.001
55,cluster_11502623497_1177160337,rryyy,3.0
55,cluster_664446535_8507351666,rryyy,3.0
56,cluster_10279701148_11630151856_663826006,GG,0.001
56,cluster_11502623497_1177160337,GGrrr,42.0
56,cluster_664446535_8507351666,GGrrr,42.0
57,cluster_10279701148_11630151856_663826006,GG,0.001
57,cluster_11502623497_1177160337,GGrrr,42.0
57,cluster_664446535_8507351666,GGrrr,42.0
58,cluster_10279701148_11630151856_663826006,GG,0.001
58,cluster_11502623497_1177160337,GGrrr,42.0
58,cluster_664446535_8507351666,GGrrr,42.0
59,cluster_10279701148_11630151856_663826006,GG,0.001
59,cluster_11502623497_1177160337,GGrrr,42.0
59,cluster_664446535_8507351666,GGrrr,42.0
60,cluster_10279701148_11630151856_663826006,GG,0.001
60,cluster_11502623497_1177160337,GGrrr,42.0
60,cluster_664446535_8507351666,GGrrr,42.0
61,cluster_10279701148_11630151856_663826006,GG,0.001
61,cluster_11502623497_1177160337,yyrrr,3.0
61,cluster_664446535_8507351666,yyrrr,3.0
62,cluster_10279701148_11630151856_663826006,GG,0.001
62,cluster_11502623497_1177160337,yyrrr,3.0
62,cluster_664446535_8507351666,yyrrr,3.0
63,cluster_10279701148_11630151856_663826006,GG,0.001
63,cluster_11502623497_1177160337,yyrrr,3.0
63,cluster_664446535_8507351666,yyrrr,3.0
64,cluster_10279701148_11630151856_663826006,GG,0.001
64,cluster_11502623497_1177160337,rrGGg,42.0
64,cluster_664446535_8507351666,rrGGG,42.0
65,cluster_10279701148_11630151856_663826006,GG,0.001
65,cluster_11502623497_1177160337,rrGGg,42.0
65,cluster_664446535_8507351666,rrGGG,42.0
66,cluster_10279701148_11630151856_663826006,GG,0.001
66,cluster_11502623497_1177160337,rrGGg,42.0
66,cluster_664446535_8507351666,rrGGG,42.0
67,cluster_10279701148_11630151856_663826006,GG,0.001
67,cluster_11502623497_1177160337,rrGGg,42.0
67,cluster_664446535_8507351666,rrGGG,42.0
68,cluster_10279701148_11630151856_663826006,GG,0.001
68,cluster_11502623497_1177160337,rrGGg,42.0
68,cluster_664446535_8507351666,rrGGG,42.0
69,cluster_10279701148_11630151856_663826006,GG,0.001
69,cluster_11502623497_1177160337,rryyy,3.0
69,cluster_664446535_8507351666,rryyy,3.0
70,cluster_10279701148_11630151856_663826006,GG,0.001
70,cluster_11502623497_1177160337,rryyy,3.0
70,cluster_664446535_8507351666,rryyy,3.0
71,cluster_10279701148_11630151856_663826006,GG,0.001
71,cluster_11502623497_1177160337,rryyy,3.0
71,cluster_664446535_8507351666,rryyy,3.0
72,cluster_10279701148_11630151856_663826006,GG,0.001
72,cluster_11502623497_1177160337,GGrrr,42.0
72,cluster_664446535_8507351666,GGrrr,42.0
73,cluster_10279701148_11630151856_663826006,GG,0.001
73,cluster_11502623497_1177160337,GGrrr,42.0
73,cluster_664446535_8507351666,GGrrr,42.0
74,cluster_10279701148_11630151856_663826006,GG,0.001
74,cluster_11502623497_1177160337,GGrrr,42.0
74,cluster_664446535_8507351666,GGrrr,42.0
75,cluster_10279701148_11630151856_663826006,GG,0.001
75,cluster_11502623497_1177160337,GGrrr,42.0
75,cluster_664446535_8507351666,GGrrr,42.0
76,cluster_10279701148_11630151856_663826006,GG,0.001
76,cluster_11502623497_1177160337,GGrrr,42.0
76,cluster_664446535_8507351666,GGrrr,42.0
77,cluster_10279701148_11630151856_663826006,GG,0.001
77,cluster_11502623497_1177160337,yyrrr,3.0
77,cluster_664446535_8507351666,yyrrr,3.0
78,cluster_10279701148_11630151856_663826006,GG,0.001
78,cluster_11502623497_1177160337,yyrrr,3.0
78,cluster_664446535_8507351666,yyrrr,3.0
79,cluster_10279701148_11630151856_663826006,GG,0.001
79,cluster_11502623497_1177160337,yyrrr,3.0
79,cluster_664446535_8507351666,yyrrr,3.0
80,cluster_10279701148_11630151856_663826006,GG,0.001
80,cluster_11502623497_1177160337,rrGGg,42.0
80,cluster_664446535_8507351666,rrGGG,42.0
81,cluster_10279701148_11630151856_663826006,GG,0.001
81,cluster_11502623497_1177160337,rrGGg,42.0
81,cluster_664446535_8507351666,rrGGG,42.0
82,cluster_10279701148_11630151856_663826006,GG,0.001
82,cluster_11502623497_1177160337,rrGGg,42.0
82,cluster_664446535_8507351666,rrGGG,42.0
83,cluster_10279701148_11630151856_663826006,GG,0.001
83,cluster_11502623497_1177160337,rrGGg,42.0
83,cluster_664446535_8507351666,rrGGG,42.0
84,cluster_10279701148_11630151856_663826006,GG,0.001
84,cluster_11502623497_1177160337,rrGGg,42.0
84,cluster_664446535_8507351666,rrGGG,42.0
85,cluster_10279701148_11630151856_663826006,GG,0.001
85,cluster_11502623497_1177160337,rryyy,3.0
85,cluster_664446535_8507351666,rryyy,3.0
86,cluster_10279701148_11630151856_663826006,GG,0.001
86,cluster_11502623497_1177160337,rryyy,3.0
86,cluster_664446535_8507351666,rryyy,3.0
87,cluster_10279701148_11630151856_663826006,GG,0.001
87,cluster_11502623497_1177160337,rryyy,3.0
87,cluster_664446535_8507351666,rryyy,3.0
88,cluster_10279701148_11630151856_663826006,GG,0.001
88,cluster_11502623497_1177160337,GGrrr,42.0
88,cluster_664446535_8507351666,GGrrr,42.0
89,cluster_10279701148_11630151856_663826006,GG,0.001
89,cluster_11502623497_1177160337,GGrrr,42.0
89,cluster_664446535_8507351666,GGrrr,42.0
90,cluster_10279701148_11630151856_663826006,GG,0.001
90,cluster_11502623497_1177160337,GGrrr,42.0
90,cluster_664446535_8507351666,GGrrr,42.0
91,cluster_10279701148_11630151856_663826006,GG,0.001
91,cluster_11502623497_1177160337,GGrrr,42.0
91,cluster_664446535_8507351666,GGrrr,42.0
92,cluster_10279701148_11630151856_663826006,GG,0.001
92,cluster_11502623497_1177160337,GGrrr,42.0
92,cluster_664446535_8507351666,GGrrr,42.0
93,cluster_10279701148_11630151856_663826006,GG,0.001
93,cluster_11502623497_1177160337,yyrrr,3.0
93,cluster_664446535_8507351666,yyrrr,3.0
94,cluster_10279701148_11630151856_663826006,GG,0.001
94,cluster_11502623497_1177160337,yyrrr,3.0
94,cluster_664446535_8507351666,yyrrr,3.0
95,cluster_10279701148_11630151856_663826006,GG,0.001
95,cluster_11502623497_1177160337,yyrrr,3.0
95,cluster_664446535_8507351666,yyrrr,3.0
96,cluster_10279701148_11630151856_663826006,GG,0.001
96,cluster_11502623497_1177160337,rrGGg,42.0
96,cluster_664446535_8507351666,rrGGG,42.0
97,cluster_10279701148_11630151856_663826006,GG,0.001
97,cluster_11502623497_1177160337,rrGGg,42.0
97,cluster_664446535_8507351666,rrGGG,42.0
98,cluster_10279701148_11630151856_663826006,GG,0.001
98,cluster_11502623497_1177160337,rrGGg,42.0
98,cluster_664446535_8507351666,rrGGG,42.0
99,cluster_10279701148_11630151856_663826006,GG,0.001
99,cluster_11502623497_1177160337,rrGGg,42.0
99,cluster_664446535_8507351666,rrGGG,42.0
100,cluster_10279701148_11630151856_663826006,GG,0.001
100,cluster_11502623497_1177160337,rrGGg,42.0
100,cluster_664446535_8507351666,rrGGG,42.0
101,cluster_10279701148_11630151856_663826006,GG,0.001
101,cluster_11502623497_1177160337,rryyy,3.0
101,cluster_664446535_8507351666,rryyy,3.0
102,cluster_10279701148_11630151856_663826006,GG,0.001
102,cluster_11502623497_1177160337,rryyy,3.0
102,cluster_664446535_8507351666,rryyy,3.0
103,cluster_10279701148_11630151856_663826006,GG,0.001
103,cluster_11502623497_1177160337,rryyy,3.0
103,cluster_664446535_8507351666,rryyy,3.0
104,cluster_10279701148_11630151856_663826006,GG,0.001
104,cluster_11502623497_1177160337,GGrrr,42.0
104,cluster_664446535_8507351666,GGrrr,42.0
105,cluster_10279701148_11630151856_663826006,GG,0.001
105,cluster_11502623497_1177160337,GGrrr,42.0
105,cluster_664446535_8507351666,GGrrr,42.0
106,cluster_10279701148_11630151856_663826006,GG,0.001
106,cluster_11502623497_1177160337,GGrrr,42.0
106,cluster_664446535_8507351666,GGrrr,42.0
107,cluster_10279701148_11630151856_663826006,GG,0.001
107,cluster_11502623497_1177160337,GGrrr,42.0
107,cluster_664446535_8507351666,GGrrr,42.0
108,cluster_10279701148_11630151856_663826006,GG,0.001
108,cluster_11502623497_1177160337,GGrrr,42.0
108,cluster_664446535_8507351666,GGrrr,42.0
109,cluster_10279701148_11630151856_663826006,GG,0.001
109,cluster_11502623497_1177160337,yyrrr,3.0
109,cluster_664446535_8507351666,yyrrr,3.0
110,cluster_10279701148_11630151856_663826006,GG,0.001
110,cluster_11502623497_1177160337,yyrrr,3.0
110,cluster_664446535_8507351666,yyrrr,3.0
111,cluster_10279701148_11630151856_663826006,GG,0.001
111,cluster_11502623497_1177160337,yyrrr,3.0
111,cluster_664446535_8507351666,yyrrr,3.0
112,cluster_10279701148_11630151856_663826006,GG,0.001
112,cluster_11502623497_1177160337,rrGGg,42.0
112,cluster_664446535_8507351666,rrGGG,42.0
113,cluster_10279701148_11630151856_663826006,GG,0.001
113,cluster_11502623497_1177160337,rrGGg,42.0
113,cluster_664446535_8507351666,rrGGG,42.0
114,cluster_10279701148_11630151856_663826006,GG,0.001
114,cluster_11502623497_1177160337,rrGGg,42.0
114,cluster_664446535_8507351666,rrGGG,42.0
115,cluster_10279701148_11630151856_663826006,GG,0.001
115,cluster_11502623497_1177160337,rrGGg,42.0
115,cluster_664446535_8507351666,rrGGG,42.0
116,cluster_10279701148_11630151856_663826006,GG,0.001
116,cluster_11502623497_1177160337,rrGGg,42.0
116,cluster_664446535_8507351666,rrGGG,42.0
117,cluster_10279701148_11630151856_663826006,GG,0.001
117,cluster_11502623497_1177160337,rryyy,3.0
117,cluster_664446535_8507351666,rryyy,3.0
118,cluster_10279701148_11630151856_663826006,GG,0.001
118,cluster_11502623497_1177160337,rryyy,3.0
118,cluster_664446535_8507351666,rryyy,3.0
119,cluster_10279701148_11630151856_663826006,GG,0.001
119,cluster_11502623497_1177160337,rryyy,3.0
119,cluster_664446535_8507351666,rryyy,3.0
120,cluster_10279701148_11630151856_663826006,GG,0.001
120,cluster_11502623497_1177160337,GGrrr,42.0
120,cluster_664446535_8507351666,GGrrr,42.0
121,cluster_10279701148_11630151856_663826006,GG,0.001
121,cluster_11502623497_1177160337,GGrrr,42.0
121,cluster_664446535_8507351666,GGrrr,42.0
122,cluster_10279701148_11630151856_663826006,GG,0.001
122,cluster_11502623497_1177160337,GGrrr,42.0
122,cluster_664446535_8507351666,GGrrr,42.0
123,cluster_10279701148_11630151856_663826006,GG,0.001
123,cluster_11502623497_1177160337,GGrrr,42.0
123,cluster_664446535_8507351666,GGrrr,42.0
124,cluster_10279701148_11630151856_663826006,GG,0.001
124,cluster_11502623497_1177160337,GGrrr,42.0
124,cluster_664446535_8507351666,GGrrr,42.0
125,cluster_10279701148_11630151856_663826006,GG,0.001
125,cluster_11502623497_1177160337,yyrrr,3.0
125,cluster_664446535_8507351666,yyrrr,3.0
126,cluster_10279701148_11630151856_663826006,GG,0.001
126,cluster_11502623497_1177160337,yyrrr,3.0
126,cluster_664446535_8507351666,yyrrr,3.0
127,cluster_10279701148_11630151856_663826006,GG,0.001
127,cluster_11502623497_1177160337,yyrrr,3.0
127,cluster_664446535_8507351666,yyrrr,3.0
128,cluster_10279701148_11630151856_663826006,GG,0.001
128,cluster_11502623497_1177160337,rrGGg,42.0
128,cluster_664446535_8507351666,rrGGG,42.0
129,cluster_10279701148_11630151856_663826006,GG,0.001
129,cluster_11502623497_1177160337,rrGGg,42.0
129,cluster_664446535_8507351666,rrGGG,42.0
130,cluster_10279701148_11630151856_663826006,GG,0.001
130,cluster_11502623497_1177160337,rrGGg,42.0
130,cluster_664446535_8507351666,rrGGG,42.0
131,cluster_10279701148_11630151856_663826006,GG,0.001
131,cluster_11502623497_1177160337,rrGGg,42.0
131,cluster_664446535_8507351666,rrGGG,42.0
132,cluster_10279701148_11630151856_663826006,GG,0.001
132,cluster_11502623497_1177160337,rrGGg,42.0
132,cluster_664446535_8507351666,rrGGG,42.0
133,cluster_10279701148_11630151856_663826006,GG,0.001
133,cluster_11502623497_1177160337,rryyy,3.0
133,cluster_664446535_8507351666,rryyy,3.0
134,cluster_10279701148_11630151856_663826006,GG,0.001
134,cluster_11502623497_1177160337,rryyy,3.0
134,cluster_664446535_8507351666,rryyy,3.0
135,cluster_10279701148_11630151856_663826006,GG,0.001
135,cluster_11502623497_1177160337,rryyy,3.0
135,cluster_664446535_8507351666,rryyy,3.0
136,cluster_10279701148_11630151856_663826006,GG,0.001
136,cluster_11502623497_1177160337,GGrrr,42.0
136,cluster_664446535_8507351666,GGrrr,42.0
137,cluster_10279701148_11630151856_663826006,GG,0.001
137,cluster_11502623497_1177160337,GGrrr,42.0
137,cluster_664446535_8507351666,GGrrr,42.0
138,cluster_10279701148_11630151856_663826006,GG,0.001
138,cluster_11502623497_1177160337,GGrrr,42.0
138,cluster_664446535_8507351666,GGrrr,42.0
139,cluster_10279701148_11630151856_663826006,GG,0.001
139,cluster_11502623497_1177160337,GGrrr,42.0
139,cluster_664446535_8507351666,GGrrr,42.0
140,cluster_10279701148_11630151856_663826006,GG,0.001
140,cluster_11502623497_1177160337,GGrrr,42.0
140,cluster_664446535_8507351666,GGrrr,42.0
141,cluster_10279701148_11630151856_663826006,GG,0.001
141,cluster_11502623497_1177160337,yyrrr,3.0
141,cluster_664446535_8507351666,yyrrr,3.0
142,cluster_10279701148_11630151856_663826006,GG,0.001
142,cluster_11502623497_1177160337,yyrrr,3.0
142,cluster_664446535_8507351666,yyrrr,3.0
143,cluster_10279701148_11630151856_663826006,GG,0.001
143,cluster_11502623497_1177160337,yyrrr,3.0
143,cluster_664446535_8507351666,yyrrr,3.0
144,cluster_10279701148_11630151856_663826006,GG,0.001
144,cluster_11502623497_1177160337,rrGGg,42.0
144,cluster_664446535_8507351666,rrGGG,42.0
145,cluster_10279701148_11630151856_663826006,GG,0.001
145,cluster_11502623497_1177160337,rrGGg,42.0
145,cluster_664446535_8507351666,rrGGG,42.0
146,cluster_10279701148_11630151856_663826006,GG,0.001
146,cluster_11502623497_1177160337,rrGGg,42.0
146,cluster_664446535_8507351666,rrGGG,42.0
147,cluster_10279701148_11630151856_663826006,GG,0.001
147,cluster_11502623497_1177160337,rrGGg,42.0
147,cluster_664446535_8507351666,rrGGG,42.0
148,cluster_10279701148_11630151856_663826006,GG,0.001
148,cluster_11502623497_1177160337,rrGGg,42.0
148,cluster_664446535_8507351666,rrGGG,42.0
149,cluster_10279701148_11630151856_663826006,GG,0.001
149,cluster_11502623497_1177160337,rryyy,3.0
149,cluster_664446535_8507351666,rryyy,3.0
150,cluster_10279701148_11630151856_663826006,GG,0.001
150,cluster_11502623497_1177160337,rryyy,3.0
150,cluster_664446535_8507351666,rryyy,3.0
151,cluster_10279701148_11630151856_663826006,GG,0.001
151,cluster_11502623497_1177160337,rryyy,3.0
151,cluster_664446535_8507351666,rryyy,3.0
152,cluster_10279701148_11630151856_663826006,GG,0.001
152,cluster_11502623497_1177160337,GGrrr,42.0
152,cluster_664446535_8507351666,GGrrr,42.0
153,cluster_10279701148_11630151856_663826006,GG,0.001
153,cluster_11502623497_1177160337,GGrrr,42.0
153,cluster_664446535_8507351666,GGrrr,42.0
154,cluster_10279701148_11630151856_663826006,GG,0.001
154,cluster_11502623497_1177160337,GGrrr,42.0
154,cluster_664446535_8507351666,GGrrr,42.0
155,cluster_10279701148_11630151856_663826006,GG,0.001
155,cluster_11502623497_1177160337,GGrrr,42.0
155,cluster_664446535_8507351666,GGrrr,42.0
156,cluster_10279701148_11630151856_663826006,GG,0.001
156,cluster_11502623497_1177160337,GGrrr,42.0
156,cluster_664446535_8507351666,GGrrr,42.0
157,cluster_10279701148_11630151856_663826006,GG,0.001
157,cluster_11502623497_1177160337,yyrrr,3.0
157,cluster_664446535_8507351666,yyrrr,3.0
158,cluster_10279701148_11630151856_663826006,GG,0.001
158,cluster_11502623497_1177160337,yyrrr,3.0
158,cluster_664446535_8507351666,yyrrr,3.0
159,cluster_10279701148_11630151856_663826006,GG,0.001
159,cluster_11502623497_1177160337,yyrrr,3.0
159,cluster_664446535_8507351666,yyrrr,3.0
160,cluster_10279701148_11630151856_663826006,GG,0.001
160,cluster_11502623497_1177160337,rrGGg,42.0
160,cluster_664446535_8507351666,rrGGG,42.0
161,cluster_10279701148_11630151856_663826006,GG,0.001
161,cluster_11502623497_1177160337,rrGGg,42.0
161,cluster_664446535_8507351666,rrGGG,42.0
162,cluster_10279701148_11630151856_663826006,GG,0.001
162,cluster_11502623497_1177160337,rrGGg,42.0
162,cluster_664446535_8507351666,rrGGG,42.0
163,cluster_10279701148_11630151856_663826006,GG,0.001
163,cluster_11502623497_1177160337,rrGGg,42.0
163,cluster_664446535_8507351666,rrGGG,42.0
164,cluster_10279701148_11630151856_663826006,GG,0.001
164,cluster_11502623497_1177160337,rrGGg,42.0
164,cluster_664446535_8507351666,rrGGG,42.0
165,cluster_10279701148_11630151856_663826006,GG,0.001
165,cluster_11502623497_1177160337,rryyy,3.0
165,cluster_664446535_8507351666,rryyy,3.0
166,cluster_10279701148_11630151856_663826006,GG,0.001
166,cluster_11502623497_1177160337,rryyy,3.0
166,cluster_664446535_8507351666,rryyy,3.0
167,cluster_10279701148_11630151856_663826006,GG,0.001
167,cluster_11502623497_1177160337,rryyy,3.0
167,cluster_664446535_8507351666,rryyy,3.0
168,cluster_10279701148_11630151856_663826006,GG,0.001
168,cluster_11502623497_1177160337,GGrrr,42.0
168,cluster_664446535_8507351666,GGrrr,42.0
169,cluster_10279701148_11630151856_663826006,GG,0.001
169,cluster_11502623497_1177160337,GGrrr,42.0
169,cluster_664446535_8507351666,GGrrr,42.0
170,cluster_10279701148_11630151856_663826006,GG,0.001
170,cluster_11502623497_1177160337,GGrrr,42.0
170,cluster_664446535_8507351666,GGrrr,42.0
171,cluster_10279701148_11630151856_663826006,GG,0.001
171,cluster_11502623497_1177160337,GGrrr,42.0
171,cluster_664446535_8507351666,GGrrr,42.0
172,cluster_10279701148_11630151856_663826006,GG,0.001
172,cluster_11502623497_1177160337,GGrrr,42.0
172,cluster_664446535_8507351666,GGrrr,42.0
173,cluster_10279701148_11630151856_663826006,GG,0.001
173,cluster_11502623497_1177160337,yyrrr,3.0
173,cluster_664446535_8507351666,yyrrr,3.0
174,cluster_10279701148_11630151856_663826006,GG,0.001
174,cluster_11502623497_1177160337,yyrrr,3.0
174,cluster_664446535_8507351666,yyrrr,3.0
175,cluster_10279701148_11630151856_663826006,GG,0.001
175,cluster_11502623497_1177160337,yyrrr,3.0
175,cluster_664446535_8507351666,yyrrr,3.0
176,cluster_10279701148_11630151856_663826006,GG,0.001
176,cluster_11502623497_1177160337,rrGGg,42.0
176,cluster_664446535_8507351666,rrGGG,42.0
177,cluster_10279701148_11630151856_663826006,GG,0.001
177,cluster_11502623497_1177160337,rrGGg,42.0
177,cluster_664446535_8507351666,rrGGG,42.0
178,cluster_10279701148_11630151856_663826006,GG,0.001
178,cluster_11502623497_1177160337,rrGGg,42.0
178,cluster_664446535_8507351666,rrGGG,42.0
179,cluster_10279701148_11630151856_663826006,GG,0.001
